SKU,Description,Cost
SC17B26497,CABLE OSFP800 to OSFP800 DAC (1.5m),  
SC17B26498,CABLE OSFP800 to OSFP800 DAC (2m), $411.00 
SM17B25685,MECH_ASM DIRECT WATER COOLING BRACKET, $34.81 
SP47A62538,PUBS 42U rack pub group,  
4XF7A85363,NVIDIA SN2201 Air Duct, $375.68 
SL17A64969,LABEL SAFETY LABEL, $0.10 
SL17A94208,LABEL PWR RATING LABEL-2600W,  
SL17A75089,"LABEL Siliver Surfer Label, ThinkSystem",  
SL17A92941,"LABEL Label, Model Name",  
SL17A93069,"LABEL LABEL, MAP PSU X9",  
SL17B29233,LABEL Node Identifier,  
0000021F9688,TIP INDICATOR (Label), $1.14 
0000002R2140,LABEL LC Node, $0.13 
0000000D1819,LABEL Power P2P Lbl,  
0000000D1817,LABEL blank label, $0.11 
SL17A58579,LABEL ACTIVATION LABEL,  
SL17A58173,LABEL XCC label for Whitley, $0.23 
SL17A02114,LABEL Small Lenovo Label, $0.06 
SL17B29229,LABEL NODE SSL SD665-N V3,  
SL17B29232,LABEL OPTION SSL,  
0000044F0924,LABEL Memory label,  
SL17A35349,LABEL Pair of Node Labels, $0.10 
SL17B85616,LABEL LABEL - MODEL SR685a V3,  
SS17B88699,SCREW M3 10MM SCREW, $0.06 
SS17A65696,SCREW M3XL4 screw,  
SS17A67830,"SCREW SLOTTED M3X5, NYLOK", $0.02 
SM27B28648,MECHANICAL HEX STANDOFF,  
0000046C6380,SCREW M5x16 Black,  
SL17B27752,LABEL Memory Security label for EGS,  
SL17B27753,LABEL Ribbon for memory label for EGS,  
00FE333,MECH SFP 1000Base-T (RJ-45) Transceiver, $30.07 
SM17A90472,MECH_ASM COLOSSUS_FAN_SINGLEROTOR_ASM, $15.88 
SM17B01611,MECH_ASM COLOSSUS_FAN_9256_HOLD_ASM, $21.28 
X00007386001,MECHANICAL BAND SEAL,  
SC17A79298,CABLE PDB PWR 2x8 to BP PWR 2x8 BP1/2, $2.45 
SM27A58511,"SCREW Screw , M5 x 7.5 mm , Patch",  
SS17B04172,"SCREW M3X5,PH1,PAN D6.5,ST,ZN,NYLOK",  
SS17A04186,SCREW PL MS MLB screw for cable wall,  
SS17A67826,"SCREW Screw,M2xL4.5",  
SS17A04261,"SCREW Screw, M3 L3.5",  
SS17A88984,"SCREW SLOTTED M3X6, NYLOK", $0.32 
SS17A04187,SCREW Purley MS MLB short screw, $0.07 
0000027F4212,SCREW M 3.5 STEEL, $0.02 
0000059Y6477,SCREW 4-40 Thread 5/,  
00000PKGDS06,PACKAGING Art Paper 297x210 for RACK, $1.31 
0000000KC763,SCREW M3.5,  
0000000FP279,MECHANICAL CAP PLUG, $1.62 
SS17A30168,"SCREW M3x4.7, PHILIPS, LOCTITE", $0.03 
SP47B87400,PUBS Rail Installation Guide, $0.38 
SP47B94044,PUBS Written offer for H100,  
STA7B80358,ECAT_TLA SR685a V3 Riser, $53.40 
SM17B79540,"MECH_ASM ASSM, PCIe CABLE BRACKET", $458.40 
0000007H6655,MECHANICAL BLACK - 6 IN,  
0000074F1823,MECHANICAL noname,  
SM27B71943,MECHANICAL WL VR COLD PLATE WASHER,  
SM27B28653,MECHANICAL HEX STANDOFF,  
SM17B84083,MECH_ASM Lenovo Reinforced cover, $144.99 
SM27B41422,MECHANICAL wire clamp,  
0000081Y2820,MECHANICAL M5 Cage, $0.13 
SM17B84752,"MECH_ASM BRKT PCIe CABLE MOUNTING, AMD",  
SL27A94159,"LATCH MASSY,LATCH,EDSFF,9.5 MM", $6.87 
SL17B82532,LABEL SERVICE LABEL - GPU/MERCEDES MONZA,  
SS17B90939,"SCREW SLOTTED M3X7, NYLOK",  
SS17A53859,SCREW SCREW_CTS_M3x6 PATCH, $0.01 
0000044E6854,MECHANICAL CAB TIE ORANGE,  
0000020P0527,LABEL Ribbon,  
SL17B05191,LABEL ST650V3 Service Label_ENG, $2.45 
STL7C04254,TOOL NVLink remove tool, $2.41 
SS10A44146,SCREW M3_Hex with Philip Head,  
SP17B34636,PACKAGING X00006165640 OBP Bag,  
SC17B27090,"CABLE Storage A(without pin define),240", $22.65 
SS17A67824,"SCREW SCREW,T10,L8*M3, NYLOK", $0.04 
SP27C02362,"PAD SXM5 TPCM7400, 44X31, 0.4T", $15.73 
0000076H2016,LABEL LABEL,  
SP17A35426,PACKAGING 500m Thank you tape,  
SN37B23797,NETWRK_CRD NVIDIA CX7 4-chip Mezz Board," $3,853.00 "
STA7B24098,ECAT_TLA GPU_PIB for SD665-N V3, $424.92 
SM37B77650,MEMORY S M321RBJA0M22-CLP 256GB 4Rx4 64R,  
SP57A88786,PWR_SUPPLY AcBel 1100WP CFFv4 AC CR PSU,  
SSS7A43191,Intel P5520 15.36T /12.8T SSD-STD," $2,869.54 "
STA7B80346,ECAT_TLA SR685a V3 PIB-C, $27.37 
STC7B05888,TRANSCVR NDR OSFP400 IB TRNSCV, $926.00 
STA7A75620,ECAT_TLA Pong TLA, $22.55 
STC7B36729,TRANSCVR 100GBase-SR4 QSFP28 Transceiver, $42.50 
SM37B73340,MEMORY MTC20F2085S1RC64BD2 32GB 2Rx8 64R, $282.95 
SN37B06010,CX7 200NDR/200G QSFP112 2port, $888.00 
SSS7B08352,"SSD 2.5"" PM1743/1745 15.36T/12.8T HS-STD"," $4,193.47 "
STA7C03568,ECAT_TLA 8GPU Switch," $3,306.14 "
SC17A83236,CABLE A 1295mm RJ45 Mgmt Cable, $1.10 
0000001KM810,LATCH Mini-PDU Strain Relief, $0.81 
SC17A98754,CABLE Fornt E1.S Intrusion Switch Cable, $1.06 
SL27A17004,LATCH C2184_E1S_Latch,  
SM27A93018,MECHANICAL C2184_E1S_Latch_Ingrasys,  
SP47B97142,PUBS Written offer for H200,  
SM17B26002,MECH_ASM C2184_SLIDE_ RAIL, $8.42 
0000081Y7879,LABEL Mfg Proc Lbl, $0.10 
0000012J5289,SCREW M6 HEX HEAD, $0.12 
SL17A48971,LABEL OCS6100 Rack Blank MSPN/SN Label,  
0000012J5288,MECHANICAL M6 CAGED NUTS, $0.20 
0000044V4664,LABEL SYS LBL-RIBBON, $0.77 
0000051H9502,ACCKIT BLACK - 14 IN,  
SM27B24839,MECHANICAL LGA4677 Carrier, $1.10 
4TA7B02107,RISER CARD-MCIO-INTRPOSE-S2185, $39.87 
SM17B82945,MECH_ASM C2184-OCP-DUMMY-ASSY-RC12, $1.13 
SB47B38696,BRACKET BRACKET, $4.96 
SP57B96187,PWR_SUPPLY Delta P2012 2100W Non-LES PSU, $277.90 
00WE115,ECO 1.0m Blue Cat5e Cable, $10.67 
SM27A90255,MECHANICAL C2184-PCIE-LP-DUMMY, $0.42 
SB47B38697,BRACKET BRACKET, $9.54 
SC17A33140,CABLE 36.25in RJ45 Management Cable, $1.42 
SP17A35620,PACKAGING MCRSFT Sleeve 1,  
SP17A35621,PACKAGING MCRSFT Sleeve 2,  
SP17A35622,PACKAGING MCRSFT Top Cap ASSY,  
SP17A35623,PACKAGING MCRSFT Corr insert,  
SP17A35624,PACKAGING MCRSFT Corr/Foam Insert,  
SM17C06771,MECH_ASM S21A1_HBA_RISER_bkt_EC, $6.30 
SL27A94164,"LATCH MASSY,LATCH,EDSFF,15 MM - E1.S", $6.19 
SM17A33144,MECH_ASM E2010 48U Rack Asm," $1,366.19 "
SM27B38695,MECHANICAL Clip, $1.10 
SC17A33141,CABLE 24.75in RJ45 Management Cable, $1.20 
SB27C04823,BDPLANAR S2185 MB, $522.95 
0000001DC058,TAPE PKG Hand Tape,  
SL17A67789,"LABEL MS Node SKU Label, White",  
SL17A91027,LABEL M1 Li-Ion UN3481 Label,  
SPU7B79251,PDU 48U Vertical PMDU w/ Mylar-I," $1,889.20 "
SC17A33136,CABLE 200mm RJ45 Splitter Cable, $0.86 
SF17B20789,FAN System_4056, $12.38 
SC17B05695,CABLE CBL PCB012700160-1 FANS 0-2, $5.77 
SC17B38677,"CABLE CBL, DAC, 1.5M AMP 100G 30A", $20.27 
SPU7C32719,"PDU 48U Vertical PMDU w/ Mylar, I-VN",  
SB47B26018,BRACKET C2184_PMDU_ALIGNMENT_BRACKET, $2.95 
SM17B38701,MECH_ASM Dummy Ruler, $7.44 
SM17B87183,MECH_ASM S21A1_HDD_carrier, $2.80 
SF17C04470,FAN MR630X_v3_4056_AVC-VNM, $12.47 
SC57A94156,"CARDPOP ,A2030,WCS,LOW PROFILE", $130.47 
SM27B82943,MECHANICAL C2184-RISER1-DUMMY-WVT-RC12, $0.32 
SC17A83237,CABLE A 1143mm RJ45 Mgmt Cable, $1.05 
SC17A96530,"CABLE CBL EMASSY,CABLE,FAN,FANS 0-2", $5.77 
SC17B38680,"CABLE CBL,CSTM,370mm", $11.02 
0000037L7062,PACKAGING shipgroup bag,  
SL17C28479,LABEL M1 Product Regulatory Label,  
SC87B83177,CHASSIS Chassis, $94.23 
SP17A35626,PACKAGING 48U Rack PE BAG,  
SM17C01964,MECH_ASM C2184-top-level-SGC400-case3WT, $50.37 
SM17C21514,MECH_ASM S21A1_HBA_RISER_bkt_EC_AVC, $6.36 
SP17A66161,PACKAGING OCS 1U Node PE Bag,  
SB47A76905,"BRACKET PMDU Alignment, Slide", $1.60 
SC17B38684,"CABLE CBL,CSTM,248mm", $5.54 
SSG7A97218,SWITCH Arista 7050CX3 TOR Switch," $3,433.78 "
SC17B38678,"CABLE CBL, DAC, 1.0M AMP 100G 30A", $17.52 
SM37C03046,MEMORY HMCG94AHBRA 64G 2RX4 M1aAVAP, $315.09 
SL27B34524,LATCH C2184_E1S_Latch-SIT (trimming), $3.98 
SC17B38679,"CABLE CBL,CSTM,204mm,S2185", $2.12 
SC17B38687,"CABLE CBL,CONN,MCIO X8- PCIE 98P", $27.43 
SC17B38685,"CABLE CBL,CSTM,160mm", $1.10 
SC17B22925,CABLE DR FAN Cable, $7.18 
SC17B38682,"CABLE CBL,CSTM,740mm", $2.06 
SSG7B97435,"SWITCH 1G Mgmt Switch, M1011427-002, MX", $356.57 
SC17A96529,"CABLE CBL EMASSY,CABLE,FAN,FANS", $4.23 
SSG7C20433,SWITCH Mellanox MSN2700 Switch,  
SC87C22450,"CHASSIS OCS J2011 JBOD L6 ,TI BP,FLEX PS"," $2,839.97 "
SM27A73738,"MECHANICAL J2010 3.5"" HDD Tray", $2.91 
SC17A95200,CABLE Front Intrusion Switch Cable, $0.85 
SC17A69588,CABLE MB Power and Signal Cable, $29.46 
SP57B91310,"PWR_SUPPLY PSU,P2012,2100W,WITH MCU", $278.31 
SM17A65427,MECH_ASM J2010 JBOD Rail Kit, $38.47 
SSG7A65533,SWITCH Mellanox MSN2700 TOR PSI," $2,742.14 "
SP57B38693,PWR_SUPPLY PSU, $331.04 
SSA7C00607,SP NVIDIA C2 Module SKU200 480G EDA," $9,450.00 "
SL17A92490,LABEL MTY Server PKG Label,  
SC17A98077,"CABLE FIT 1.5m Relay Cable, ROW, M1W", $18.87 
4B27A90816,MOTHERBOARD-C2184, $885.75 
SC87C14290,"CHASSIS Chassis,AVC", $68.55 
SH47C12865,HEATSINK HEAT SINK, $38.00 
SF17B38691,FAN FAN, $14.35 
SP57B23674,PWR_SUPPLY Lite On P2010 Power Supply, $208.00 
SL17B79795,LABEL M1 Product Regulatory Label,  
SS17A93085,SCREW C2184_SCREW_OBS_M1131291-001, $0.03 
SL17A48969,LABEL SN650C Blank MSPN/SN Label,  
SL17B74638,LABEL Tilt Watch Plus Label, $5.19 
SL17A04173,LABEL ShockWatch2 - 15G,  
SL17A78810,LABEL DC Service Label,  
SL17B42541,LABEL White Blank label 41x30mm,  
SB47B38699,BRACKET M Assembly, $8.78 
SM27B82944,MECHANICAL E1.S-DUMMY-NC50RT, $0.59 
4B27B04147,MOTHERBOARD-S2185, $544.08 
4C57B00070,DC-SCM-M1110, $135.34 
4B27A90078,C2184 MP MB (rework) PC OPT-GUAD, $911.52 
SF17C17409,"FAN FAN,13.2VDC,DUAL ROTOR,40X56, AVC VT", $12.24 
4B27B01933,MOTHERBOARD-S2185, $543.70 
SM27B81463,"MECHANICAL RAIL,SLIDE,1U,FRICTION,FULL", $48.00 
SM27B41345,MECHANICAL 1U Airflow Blocker, $2.61 
SM17C00835,MECH_ASM C2184-top-level-SGC400-case3, $52.46 
SC17B05696,CABLE CBL PCB012700159-1 FANS, $4.23 
4TA7A93752,RISER CARD-E1S-INTRPOSE-S2185, $48.25 
SC17C05877,"CABLE CBL,PWR,290mm,12V POWER CABLE", $100.10 
4C57A90186,RISER CARD-GP-C2184, $26.01 
SC17B38681,"CABLE CBL,CSTM,441.3mm", $16.75 
SC17A83242,CABLE A 3660mm RJ45 Mgmt Cable, $2.11 
SM27A90289,MECHANICAL C2184_E1S_Latch_Ingrasys, $4.03 
4B27A90077,MOTHERBOARD-C2184, $845.36 
SC17B38686,"CABLE CBL, DAC, 2.0M AMP 100G 30A", $23.42 
SC17A83235,CABLE A 1448mm RJ45 Mgmt Cable, $1.16 
SM17B87184,MECH_ASM S21A1_LP_RISER_bkt, $3.20 
